,meta_name,key_year,tg_numc_scope_1,tg_numc_scope_2,tg_numc_scope_3
0,Greenvolt - Energias Renovaveis SA,2019.0,,,
1,Greenvolt - Energias Renovaveis SA,2020.0,,,
2,Greenvolt - Energias Renovaveis SA,2021.0,,,
3,Greenvolt - Energias Renovaveis SA,2022.0,,,
35,Shenzhen Fountain Corporation,2018.0,,,
33,Shenzhen Fountain Corporation,2019.0,,,
37,Shenzhen Fountain Corporation,2020.0,,,
34,Shenzhen Fountain Corporation,2021.0,,,
36,Shenzhen Fountain Corporation,2022.0,,,
95,"Dongwha Pharm.Co.,Ltd",2018.0,,,
96,"Dongwha Pharm.Co.,Ltd",2019.0,,,
93,"Dongwha Pharm.Co.,Ltd",2020.0,,,
94,"Dongwha Pharm.Co.,Ltd",2021.0,,,
97,"Dongwha Pharm.Co.,Ltd",2022.0,,,
117,"Shenzhen Tellus Holding Co., Ltd.",2018.0,,,
114,"Shenzhen Tellus Holding Co., Ltd.",2019.0,,,
113,"Shenzhen Tellus Holding Co., Ltd.",2020.0,,,
116,"Shenzhen Tellus Holding Co., Ltd.",2021.0,,,
115,"Shenzhen Tellus Holding Co., Ltd.",2022.0,,,
128,China National Accord Medicines Corporation Ltd.,2018.0,,,
129,China National Accord Medicines Corporation Ltd.,2019.0,,,
130,China National Accord Medicines Corporation Ltd.,2020.0,,,
131,China National Accord Medicines Corporation Ltd.,2021.0,,,
132,China National Accord Medicines Corporation Ltd.,2022.0,,,
153,"Digital China Group Co., Ltd.",2018.0,,,
154,"Digital China Group Co., Ltd.",2019.0,,,
155,"Digital China Group Co., Ltd.",2020.0,,,
156,"Digital China Group Co., Ltd.",2021.0,,,
157,"Digital China Group Co., Ltd.",2022.0,,,
292,"Shenzhen SDG Information Co., Ltd.",2018.0,,,
293,"Shenzhen SDG Information Co., Ltd.",2019.0,,,
294,"Shenzhen SDG Information Co., Ltd.",2020.0,,,
295,"Shenzhen SDG Information Co., Ltd.",2021.0,,,
296,"Shenzhen SDG Information Co., Ltd.",2022.0,,,
307,"HITEJINRO Co., Ltd.",2018.0,,,
308,"HITEJINRO Co., Ltd.",2019.0,,,
309,"HITEJINRO Co., Ltd.",2020.0,,,
310,"HITEJINRO Co., Ltd.",2021.0,,,
311,"HITEJINRO Co., Ltd.",2022.0,,,
477,Kia Corporation,2018.0,380000.0,780000.0,
478,Kia Corporation,2019.0,380752.0,804559.0,
479,Kia Corporation,2020.0,368746.0,903468.0,3750651.0
480,Kia Corporation,2021.0,359025.0,821651.0,70308768.0
481,Kia Corporation,2022.0,,,
