,0,0,0,0,0,0,0,1,2
model_name,model_vif_05,model_vif_10,model_vif_15,model_vif_20,model_vif_25,model_vif_all,model_vif_20_no_stocks,model_vif_20_no_stocks,model_vif_20_no_stocks
scope,scope_1,scope_1,scope_1,scope_1,scope_1,scope_1,scope_1,scope_2,scope_3
imputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer
fin_transformer,ArcSinhScaler,ArcSinhScaler,ArcSinhScaler,ArcSinhScaler,ArcSinhScaler,ArcSinhScaler,ArcSinhScaler,ArcSinhScaler,ArcSinhScaler
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,LogTargetScaler,LogTargetScaler,LogTargetScaler,LogTargetScaler,LogTargetScaler,LogTargetScaler,LogTargetScaler,LogTargetScaler
preprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor
feature_selector,SelectionFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer
scope_estimator,EvenWeightMiniModelArmyEstimator,EvenWeightMiniModelArmyEstimator,EvenWeightMiniModelArmyEstimator,EvenWeightMiniModelArmyEstimator,EvenWeightMiniModelArmyEstimator,EvenWeightMiniModelArmyEstimator,EvenWeightMiniModelArmyEstimator,EvenWeightMiniModelArmyEstimator,EvenWeightMiniModelArmyEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,1436.036500453949,3460.376708507538,3435.233163833618,3424.1710200309753,3442.9950726032257,3211.893961429596,3292.780252456665,3106.209119081497,3079.7740411758423
stats.optimise.num_datapoints,32745,32745,32745,32745,32745,32745,32745,32061,20684
stats.fit.time,748.230171918869,860.8899726867676,746.204085111618,832.3370521068573,932.0943124294281,2155.7310111522675,910.8961088657379,764.2019703388214,607.645619392395
stats.fit.num_datapoints,32745,32745,32745,32745,32745,32745,32745,32061,20684
stats.fit_confidence.time,47.03082060813904,41.509607791900635,36.209216356277466,39.41253709793091,42.16709518432617,45.23811340332031,41.68331599235535,33.42037773132324,27.050477266311646
stats.fit_confidence.num_datapoints,32745,32745,32745,32745,32745,32745,32745,32061,20684
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,0.2079215404046236,0.17758951826747216,0.16580785341863866,0.15820928839813864,0.15059837669365,0.13672005907285534,0.1602289186961036,0.13938924315847742,0.16457408822349848
raw.R2,0.9009195333717062,0.5080016451934357,0.001223674912935624,0.8934824636907466,0.6221694129319497,0.5375165004350649,0.8783365976214453,0.015267289145715512,0.3346321008530344
raw.MAE,1759.423461932296,1183.5233104955041,1024.4367757482673,915.7013149468294,980.7277011829428,1124.7214449258172,935.8270260927893,1559.5706806479902,3862.105534575163
raw.RMSE,4552926.00591388,265957757.30894306,378865978.95851314,4584142.98346287,233002001.4255022,10127827.146594284,5426969.471434929,6569679870.463715,1058121858.5909691
raw.MAPE,99.28161352674526,89.02477221256231,34.244444867611385,27.810783258791965,190.88333192078483,78.56953138913437,175.2720511760843,2.2460128904848937,841.7003072552371
raw.offset_percentile.50%,1.042001566061032,1.030848675436843,1.0239066288286474,1.0222895789100885,1.0216043843252023,1.0280174912795652,1.0222088638860036,1.021397100405794,1.0192852214296961
raw.offset_percentile.75%,1.167289051921457,1.1270779093003638,1.1082195821762106,1.1029686631047415,1.097002786287994,1.1036764993609078,1.103470534180342,1.0877577860163723,1.0972780200695016
raw.offset_percentile.90%,1.7770929355662117,1.5646039731084826,1.4898169276469468,1.4415595503568917,1.4013305318077072,1.3474441754701285,1.4510224380403918,1.355742247628522,1.4631052487790497
raw.offset_percentile.95%,6.041228248342126,4.032435596969359,3.712459668959502,3.2695495791629217,2.725275792172035,2.063012720028114,3.8181842349246775,2.5406468310965593,3.9090684497671977
raw.confidence_rating.<10.0%,5436,5833,6035,6113,6165,6088,7611,7714,4878
raw.confidence_rating.10-20%,931,851,742,752,728,869,955,886,545
raw.confidence_rating.20-50%,801,643,601,568,574,595,707,584,416
raw.confidence_rating.50-100%,278,249,222,203,208,208,255,240,164
raw.confidence_rating.100-200%,164,142,124,124,127,122,146,153,88
raw.confidence_rating.>200.0%,577,469,463,427,385,305,559,443,373
raw.confidence_rating_detailed.0.left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw.confidence_rating_detailed.0.right,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
raw.confidence_rating_detailed.0.cnt,5436,5833,6035,6113,6165,6088,7611,7714,4878
raw.confidence_rating_detailed.1.left,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
raw.confidence_rating_detailed.1.right,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
raw.confidence_rating_detailed.1.cnt,931,851,742,752,728,869,955,886,545
raw.confidence_rating_detailed.2.left,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
raw.confidence_rating_detailed.2.right,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
raw.confidence_rating_detailed.2.cnt,801,643,601,568,574,595,707,584,416
raw.confidence_rating_detailed.3.left,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
raw.confidence_rating_detailed.3.right,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
raw.confidence_rating_detailed.3.cnt,278,249,222,203,208,208,255,240,164
raw.confidence_rating_detailed.4.left,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
raw.confidence_rating_detailed.4.right,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
raw.confidence_rating_detailed.4.cnt,164,142,124,124,127,122,146,153,88
raw.confidence_rating_detailed.5.left,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
raw.confidence_rating_detailed.5.right,inf,inf,inf,inf,inf,inf,inf,inf,inf
raw.confidence_rating_detailed.5.cnt,577,469,463,427,385,305,559,443,373
test.n_buckets,10,10,10,10,10,10,10,10,10
test.classifier.evaluator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator
test.classifier.balanced_accuracy,0.9157858009029705,0.9321829065526842,0.932473762129559,0.9384327894681105,0.942192130193261,0.9517980820025835,0.9356880295772788,0.9341504141649726,0.938938441023922
test.classifier.balanced_precision,0.9159665407172427,0.9326275901924916,0.9329943463636534,0.9386057597166917,0.942843180031798,0.9517788497634626,0.9359142492655763,0.9345933651256562,0.9394686819895195
test.classifier.balanced_recall,0.915720043972151,0.9322096005862953,0.9326981800415293,0.9381946989129107,0.9423476242823989,0.9516306339318432,0.9356005081598749,0.9340319361277445,0.9390470297029703
test.classifier.balanced_f1,0.915783281652513,0.9322879334660419,0.9327566736939581,0.9382719581293942,0.9424183949998557,0.9516474013835953,0.9356860459579616,0.9341607468648075,0.9391393589681304
test.classifier.adj_lenient_acc,0.9519970685232686,0.9611579333089043,0.9638451203126909,0.965677293269818,0.968242335409796,0.9763038964211554,0.9631584090686993,0.9635728542914171,0.9625618811881188
test.classifier.adj_strict_acc,0.9423476242823989,0.9517527787956517,0.9537070966165873,0.9579821668498839,0.9618908024917552,0.9705630878221571,0.9543633343105639,0.9577844311377246,0.9552908415841584
test.regressor.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
