,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,RobustScaler,RobustScaler,RobustScaler
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,DummyTargetScaler,DummyTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer
scope_estimator,SupportVectorEstimator,SupportVectorEstimator,SupportVectorEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,4.069447755813599,4.545843839645386,2.584851026535034
stats.optimise.num_datapoints,10313,9896,5907
stats.fit.time,0.24605441093444824,0.2593832015991211,0.20595359802246094
stats.fit.num_datapoints,10313,9896,5907
stats.fit_confidence.time,0.7723085880279541,0.8375129699707031,0.4004940986633301
stats.fit_confidence.num_datapoints,10313,9896,5907
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,1.0491151306206654,1.164706441300109,1.3518183529240095
raw.R2,0.09178184245907806,-0.04472607871420853,-0.0519374453838064
raw.MAE,85784.61215046298,111840.39001177075,46147.78721147208
raw.RMSE,16415350.772674752,3182738.0332171856,74755142.93755335
raw.MAPE,84.28059104290209,41.50639417343568,29.36799731435404
raw.offset_percentile.50%,3.2846173373395158,4.250750032705559,8.12623062729065
raw.offset_percentile.75%,8.804247637233235,12.233000656526539,55.11732668891588
raw.offset_percentile.90%,29.84053069529246,37.900528789914986,435.17607133742024
raw.offset_percentile.95%,57.90780960118953,76.74495731828179,2132.9606035106094
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.1486957006704833,1.164706441300109,1.3518183529240095
test.R2,0.592714179458433,-0.04472607871420853,-0.0519374453838064
test.MAE,1.1892496640002506,111840.39001177075,46147.78721147208
test.RMSE,2.04847406259421,3182738.0332171856,74755142.93755335
test.MAPE,0.18682209475929754,41.50639417343568,29.36799731435404
