,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,LogTargetScaler,LogTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer
scope_estimator,MiniModelArmyEstimator,MiniModelArmyEstimator,MiniModelArmyEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,584.6632177829742,518.5663962364197,495.4060101509094
stats.optimise.num_datapoints,5134,4979,2822
stats.fit.time,83.81899499893188,69.72615098953247,59.06531882286072
stats.fit.num_datapoints,5134,4979,2822
stats.fit_confidence.time,1.985929250717163,1.536715030670166,1.3313210010528564
stats.fit_confidence.num_datapoints,5134,4979,2822
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,0.5955740762019068,0.5232100559756452,0.6980212247133655
raw.R2,0.7480674912781216,0.26833596804347337,0.33931820089831544
raw.MAE,20690.236406708147,23134.11891650832,29252.407554062556
raw.RMSE,7258008.280150881,3854111.0412112162,117374207.9957297
raw.MAPE,30.595856428206858,24.40767457665223,50.349220667553766
raw.offset_percentile.50%,1.410944896356959,1.330191123171199,1.57614798930376
raw.offset_percentile.75%,2.795701238271106,2.231196099646094,3.772729635793054
raw.offset_percentile.90%,10.449314766480047,7.303323600768293,25.578405006118935
raw.offset_percentile.95%,23.23508967592388,18.783892975629595,104.96359967537887
test.n_buckets,10,10,10
test.classifier.evaluator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator
test.classifier.balanced_accuracy,0.6118978567532715,0.5825861124176734,0.602513764174798
test.classifier.balanced_precision,0.6124142447206424,0.5848920956038876,0.6112945502833812
test.classifier.balanced_recall,0.6098130841121495,0.5847389558232932,0.6048158640226629
test.classifier.balanced_f1,0.6083830266667319,0.5843290096392669,0.6067122524301448
