,0,1,2,0,1,2
scope,scope_1,scope_2,scope_3,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer:10-buckets,RevenueQuantileBucketImputer:10-buckets,RevenueQuantileBucketImputer:10-buckets,RevenueQuantileBucketImputer:10-buckets,RevenueQuantileBucketImputer:10-buckets,RevenueQuantileBucketImputer:10-buckets
fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer,PowerTransformer,PowerTransformer,PowerTransformer
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,LogTargetScaler,LogTargetScaler,LogTargetScaler,LogTargetScaler,LogTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer
scope_estimator,MiniModelArmyEstimator,MiniModelArmyEstimator,MiniModelArmyEstimator,MiniModelArmyEstimator,MiniModelArmyEstimator,MiniModelArmyEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,1380.7020161151886,1413.581678390503,983.5432529449463,893.1193759441376,1037.3525104522705,800.7952349185944
stats.optimise.num_datapoints,6870,6730,3694,6870,6730,3694
stats.fit.time,320.40829825401306,254.35760927200317,137.7641806602478,140.8867630958557,168.4302110671997,99.56782126426697
stats.fit.num_datapoints,6870,6730,3694,6870,6730,3694
stats.fit_confidence.time,15.156008243560791,14.81357455253601,9.524471282958984,16.74395728111267,16.368478536605835,10.0463228225708
stats.fit_confidence.num_datapoints,6870,6730,3694,6870,6730,3694
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,0.17327401485724825,0.1628701786325213,0.28330618354606835,0.21026793351600517,0.17905491095643536,0.2995119174943064
raw.R2,0.973149543687814,0.9628353922146957,0.3254265913566394,0.9755150726725679,0.7247997348133226,0.773774095501567
raw.MAE,1774.751841518184,3539.9575223342035,4856.545796657974,2340.4451257007313,4830.881754701055,6914.2512713921315
raw.RMSE,1759254.0247266435,617699.113882201,194804322.43886554,2091321.5283919678,1732517.074717864,60557385.278680936
raw.MAPE,1420348888863265.0,2.30718464681526e+16,1.5055666036531942e+18,275003238217770.56,3151593032993176.5,1.8850370410108127e+18
raw.offset_percentile.50%,1.0754475666118668,1.0658192192082074,1.1102792661312022,1.0956589824307938,1.0780613039901388,1.1294671247945196
raw.offset_percentile.75%,1.1701468373037112,1.1490995623557791,1.2917399040641524,1.2439787271559035,1.1886059168732492,1.3332612934827222
raw.offset_percentile.90%,1.4848963906030903,1.4622606251221633,2.340698153045909,1.6732844253915,1.537857696447164,2.5938119477113304
raw.offset_percentile.95%,2.089628414316981,1.9721890229846326,10.542744732295537,2.4831052917257628,2.171443382031092,8.368299588480971
raw.confidence_rating.<10%,8,7,16,4,4,9
raw.confidence_rating.10-20%,13,9,26,16,14,20
raw.confidence_rating.20-50%,33,31,56,42,39,62
raw.confidence_rating.>50%,576,578,553,567,570,547
test.n_buckets,10,10,10,10,10,10
test.classifier.evaluator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator
test.classifier.balanced_accuracy,0.9416670643239001,0.9136999916653388,0.8890969391292736,0.8898665208405578,0.8824469680168232,0.8794564554929541
test.classifier.balanced_precision,0.9394486564916836,0.9167122543897394,0.888306317217354,0.8865497830578426,0.8835138648599457,0.881169525419708
test.classifier.balanced_recall,0.9392446633825944,0.916256157635468,0.8850574712643678,0.8850574712643678,0.8834154351395731,0.8801313628899836
test.classifier.balanced_f1,0.939020271608426,0.9160350022085108,0.8853484757687133,0.8848439427986162,0.8831263363418536,0.8799550266066476
test.classifier.adj_lenient_acc,0.9917898193760263,0.986863711001642,0.9474548440065681,0.9770114942528736,0.9802955665024631,0.9507389162561576
test.classifier.adj_strict_acc,0.9835796387520526,0.9737274220032841,0.9376026272577996,0.9622331691297209,0.9638752052545156,0.9261083743842364
test.regressor.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.regressor.sMAPE,0.035110503124074495,0.0371701972099143,0.029504346898818846,0.02408105667372247,0.029485950392137545,0.028179377937689126
test.regressor.R2,0.9849060452346956,0.9410775501174847,0.9831607415593139,0.992919250045813,0.9632522099960359,0.9872787265681636
test.regressor.MAE,0.07174937804892245,0.06222035030948625,0.09689217414677742,0.08332205335190057,0.06805842445381671,0.11062762540620064
test.regressor.RMSE,0.41151923787709027,0.6443597194408094,0.4752755515542546,0.2822576587043404,0.48382853253937386,0.42709682089342155
test.regressor.MAPE,133182483844850.05,317898830063409.3,118770100872509.92,43999232991138.26,164003633313277.0,82774236545762.45
test.regressor.offset_percentile.50%,1.0068393955050838,1.005480944865799,1.0093821568196186,1.0081120240965211,1.0062191757432128,1.0103374193814285
test.regressor.offset_percentile.75%,1.0150677400948336,1.0111475051375778,1.018855024816415,1.017802312779259,1.0131901050433547,1.022925332264799
test.regressor.offset_percentile.90%,1.03776271979177,1.0233738791374665,1.0422366662871776,1.036773020272341,1.0251757876311312,1.0478320810606914
test.regressor.offset_percentile.95%,1.059783086040907,1.0477646953358508,1.070036723136894,1.0589928264751551,1.0421167840640466,1.0766159654343705
test.regressor.confidence_rating.<10%,0,0,0,0,0,1
test.regressor.confidence_rating.10-20%,0,0,0,0,2,2
test.regressor.confidence_rating.20-50%,0,0,1,3,2,2
test.regressor.confidence_rating.>50%,609,609,608,606,607,607
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.04008973875457751,0.04231522019079334,0.051801890873612866,0.035190629908298125,0.035354926165583465,0.051804486897428254
test.R2,0.9684012998219469,0.9257966932124465,0.8913567302840371,0.9687533071830778,0.9459164144423642,0.9029439096806571
test.MAE,0.07272613934183347,0.06374346733279701,0.10459595019284329,0.09132551004151779,0.07516379957907482,0.12172187909948917
test.RMSE,0.5954197411891708,0.723102088167906,1.2072171796253395,0.592936430594724,0.586960128685905,1.1797023414887249
test.MAPE,133182483844850.05,317898830063409.3,168248889817480.34,43999232991138.28,164003633313276.97,132212168698191.97
test.offset_percentile.50%,1.0069500073119837,1.0058844448936506,1.0099200502298191,1.0089109335622648,1.0067724934758122,1.0110449255960103
test.offset_percentile.75%,1.0159484892752968,1.0131742160117276,1.0220255988859814,1.0235565714632946,1.0159502623120447,1.0299707312263624
test.offset_percentile.90%,1.0506306602566973,1.0408530395290976,1.1100077403165682,1.0614227859532874,1.0420987274619753,1.1134272092795232
test.offset_percentile.95%,1.0934531523165625,1.083586817835449,1.230322426270235,1.133420953147002,1.0707610980512188,1.322162535233982
test.confidence_rating.<10%,0,0,2,0,0,4
test.confidence_rating.10-20%,1,0,3,0,1,7
test.confidence_rating.20-50%,1,0,8,5,2,9
test.confidence_rating.>50%,608,609,601,604,607,600
train.n_buckets,10,10,10,10,10,10
train.classifier.evaluator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator
train.classifier.balanced_accuracy,0.9272545588014381,0.9162124606694093,0.906138106526409,0.9003153081738253,0.8872096479449624,0.87670781836489
train.classifier.balanced_precision,0.9266831287194264,0.9168051213637682,0.9059428375624485,0.8974425520933051,0.8891816734772585,0.8752429918429399
train.classifier.balanced_recall,0.9265913757700205,0.9163244353182751,0.9060574948665298,0.8973305954825462,0.8886036960985626,0.8752566735112937
train.classifier.balanced_f1,0.9265959986985275,0.9163905694043771,0.9058557584254532,0.8971562021741686,0.888570184742181,0.8750841339962857
