,0,1,2,0,1,2
scope,scope_1,scope_2,scope_3,scope_1,scope_2,scope_3
imputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer
fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer,PowerTransformer,PowerTransformer,PowerTransformer
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,LogTargetScaler,LogTargetScaler,LogTargetScaler,LogTargetScaler,LogTargetScaler
preprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer
scope_estimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,36.09604263305664,34.97832131385803,27.678865671157837,35.481698989868164,36.25995087623596,28.223018884658813
stats.optimise.num_datapoints,2227,2176,1350,2227,2176,1350
stats.fit.time,8.448633670806885,8.251412630081177,6.672761678695679,8.644647121429443,8.454066038131714,6.757817983627319
stats.fit.num_datapoints,2227,2176,1350,2227,2176,1350
stats.fit_confidence.time,8.595845222473145,8.560286283493042,6.829185485839844,8.393987894058228,8.175532579421997,6.983483791351318
stats.fit_confidence.num_datapoints,2227,2176,1350,2227,2176,1350
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,1.2136059340228278,1.0794358001544695,1.3270772468544967,1.2609905959340393,1.0292411719729473,1.3817018909704943
raw.R2,0.01536051529250082,0.022160477742818374,-0.00598724998849387,-0.05598485770093942,0.07400950509493409,-0.006940336241562095
raw.MAE,68109.67603405613,84116.15884082456,377271.88421027426,61546.87627589823,68469.89789167681,413179.19899886276
raw.RMSE,17976291.045194097,2281789.44844895,405943278.018462,26501331.935469903,2444059.803307936,247015034.20700186
raw.MAPE,1151.7467902710393,532.869686809012,2280.770838118849,981.0548975142087,99.57734702355852,131.7639991659117
raw.offset_percentile.50%,5.000831793494251,3.406534431493044,8.290606016115024,5.887393570417783,3.0976138709459176,8.15324602306099
raw.offset_percentile.75%,14.408027422944567,8.925664792366815,39.443091944532036,17.23228597889088,8.594528669593915,53.16492488910912
raw.offset_percentile.90%,59.15347896801733,27.194704658852654,174.2113026216586,64.44215230843888,29.721882187319824,272.0789470611006
raw.offset_percentile.95%,198.32525486855178,73.23846943657863,551.8445844546125,154.4090920864969,67.5086124604196,594.0781060932129
raw.confidence_rating.<10.0%,16,26,14,21,34,12
raw.confidence_rating.10-20%,17,27,12,14,29,4
raw.confidence_rating.20-50%,66,62,31,54,76,25
raw.confidence_rating.50-100%,61,78,35,63,88,32
raw.confidence_rating.100-200%,84,114,43,75,108,39
raw.confidence_rating.>200.0%,452,374,287,469,346,310
raw.confidence_rating_detailed.0.left,0.0,0.0,0.0,0.0,0.0,0.0
raw.confidence_rating_detailed.0.right,10.0,10.0,10.0,10.0,10.0,10.0
raw.confidence_rating_detailed.0.cnt,16,26,14,21,34,12
raw.confidence_rating_detailed.1.left,10.0,10.0,10.0,10.0,10.0,10.0
raw.confidence_rating_detailed.1.right,20.0,20.0,20.0,20.0,20.0,20.0
raw.confidence_rating_detailed.1.cnt,17,27,12,14,29,4
raw.confidence_rating_detailed.2.left,20.0,20.0,20.0,20.0,20.0,20.0
raw.confidence_rating_detailed.2.right,50.0,50.0,50.0,50.0,50.0,50.0
raw.confidence_rating_detailed.2.cnt,66,62,31,54,76,25
raw.confidence_rating_detailed.3.left,50.0,50.0,50.0,50.0,50.0,50.0
raw.confidence_rating_detailed.3.right,100.0,100.0,100.0,100.0,100.0,100.0
raw.confidence_rating_detailed.3.cnt,61,78,35,63,88,32
raw.confidence_rating_detailed.4.left,100.0,100.0,100.0,100.0,100.0,100.0
raw.confidence_rating_detailed.4.right,200.0,200.0,200.0,200.0,200.0,200.0
raw.confidence_rating_detailed.4.cnt,84,114,43,75,108,39
raw.confidence_rating_detailed.5.left,200.0,200.0,200.0,200.0,200.0,200.0
raw.confidence_rating_detailed.5.right,inf,inf,inf,inf,inf,inf
raw.confidence_rating_detailed.5.cnt,452,374,287,469,346,310
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.19516748941075268,0.15679599164907837,0.21937404207303451,0.20015649628361776,0.14490845888662748,0.23176773837823877
test.R2,0.36518169088088603,0.25838358886731994,0.23767528552461126,0.3058966550030042,0.24585035943493638,0.13922448644708918
test.MAE,1.6095914613511546,1.2256901106585456,2.115066840655105,1.7722723914000063,1.130619197429679,2.0983922696595956
test.RMSE,2.569333721849401,2.174513123468137,3.2411548476992835,2.6303962302379107,2.0506493637913645,3.3045048331771274
test.MAPE,0.6335095148901674,0.19183027629472177,0.3304973804073292,0.5992269217152523,0.1730990053633625,0.2806280694634595
test.offset_percentile.50%,1.1671042382419445,1.1118733127630644,1.1849648321932236,1.1689020914174866,1.1061486355135088,1.1858476372723417
test.offset_percentile.75%,1.2803226518956456,1.2197816701514632,1.34627304042215,1.2999103661116203,1.2140521395954762,1.3956500445048152
test.offset_percentile.90%,1.4724984969035264,1.4068552153188316,1.6494831670793177,1.5273887680627034,1.3743654175630189,1.674733690958361
test.offset_percentile.95%,1.6679477614586922,1.611739814454511,1.9408224278676613,1.7583890012049535,1.5671075182634675,1.9012052948188922
test.confidence_rating.<10.0%,236,309,137,218,335,121
test.confidence_rating.10-20%,180,184,88,187,161,98
test.confidence_rating.20-50%,216,144,134,216,142,132
test.confidence_rating.50-100%,42,25,45,58,32,58
test.confidence_rating.100-200%,16,11,15,12,8,11
test.confidence_rating.>200.0%,6,8,3,5,3,2
test.confidence_rating_detailed.0.left,0.0,0.0,0.0,0.0,0.0,0.0
test.confidence_rating_detailed.0.right,10.0,10.0,10.0,10.0,10.0,10.0
test.confidence_rating_detailed.0.cnt,236,309,137,218,335,121
test.confidence_rating_detailed.1.left,10.0,10.0,10.0,10.0,10.0,10.0
test.confidence_rating_detailed.1.right,20.0,20.0,20.0,20.0,20.0,20.0
test.confidence_rating_detailed.1.cnt,180,184,88,187,161,98
test.confidence_rating_detailed.2.left,20.0,20.0,20.0,20.0,20.0,20.0
test.confidence_rating_detailed.2.right,50.0,50.0,50.0,50.0,50.0,50.0
test.confidence_rating_detailed.2.cnt,216,144,134,216,142,132
test.confidence_rating_detailed.3.left,50.0,50.0,50.0,50.0,50.0,50.0
test.confidence_rating_detailed.3.right,100.0,100.0,100.0,100.0,100.0,100.0
test.confidence_rating_detailed.3.cnt,42,25,45,58,32,58
test.confidence_rating_detailed.4.left,100.0,100.0,100.0,100.0,100.0,100.0
test.confidence_rating_detailed.4.right,200.0,200.0,200.0,200.0,200.0,200.0
test.confidence_rating_detailed.4.cnt,16,11,15,12,8,11
test.confidence_rating_detailed.5.left,200.0,200.0,200.0,200.0,200.0,200.0
test.confidence_rating_detailed.5.right,inf,inf,inf,inf,inf,inf
test.confidence_rating_detailed.5.cnt,6,8,3,5,3,2
train.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
train.sMAPE,0.18429637294788948,0.13810431802471398,0.20561381810802168,0.20184651192865188,0.1483201780743602,0.2248594361264058
train.R2,0.42158500752026407,0.32845579106512013,0.2705679956427768,0.32377665740354056,0.2644483331363874,0.1544746536961592
train.MAE,1.517373408991232,1.0991968024771506,1.978728407758652,1.6307593651440886,1.1799222553075026,2.1434320694138007
train.RMSE,2.434014297914934,1.934113762584072,3.033563378697464,2.64507172290615,2.0602194437264045,3.299943883971061
train.MAPE,0.4476675888024257,0.1665288129709512,0.3130984844798083,0.5032953817375249,0.18058600051294424,0.3521721663144937
train.offset_percentile.50%,1.1452468542444132,1.0999034716371237,1.1713152045102433,1.1593964448012828,1.1066040398610535,1.1944482852031784
train.offset_percentile.75%,1.272963405490131,1.1916477923495772,1.323932341619837,1.2942012398489222,1.2102868383167222,1.370122908012412
train.offset_percentile.90%,1.4741312735101306,1.3429632814145855,1.5754346928889882,1.5259087598183487,1.3745102170914087,1.6374675635444311
train.offset_percentile.95%,1.7147916229463664,1.5084431902476632,1.8281183558835852,1.8266095185450604,1.5619364379507332,1.841355867029607
train.confidence_rating.<10.0%,1036,1361,563,946,1296,495
train.confidence_rating.10-20%,710,724,379,713,699,363
train.confidence_rating.20-50%,791,495,531,824,548,579
train.confidence_rating.50-100%,170,90,165,198,123,201
train.confidence_rating.100-200%,54,31,40,68,25,39
train.confidence_rating.>200.0%,23,20,10,35,30,11
train.confidence_rating_detailed.0.left,0.0,0.0,0.0,0.0,0.0,0.0
train.confidence_rating_detailed.0.right,10.0,10.0,10.0,10.0,10.0,10.0
train.confidence_rating_detailed.0.cnt,1036,1361,563,946,1296,495
train.confidence_rating_detailed.1.left,10.0,10.0,10.0,10.0,10.0,10.0
train.confidence_rating_detailed.1.right,20.0,20.0,20.0,20.0,20.0,20.0
train.confidence_rating_detailed.1.cnt,710,724,379,713,699,363
train.confidence_rating_detailed.2.left,20.0,20.0,20.0,20.0,20.0,20.0
train.confidence_rating_detailed.2.right,50.0,50.0,50.0,50.0,50.0,50.0
train.confidence_rating_detailed.2.cnt,791,495,531,824,548,579
train.confidence_rating_detailed.3.left,50.0,50.0,50.0,50.0,50.0,50.0
train.confidence_rating_detailed.3.right,100.0,100.0,100.0,100.0,100.0,100.0
train.confidence_rating_detailed.3.cnt,170,90,165,198,123,201
train.confidence_rating_detailed.4.left,100.0,100.0,100.0,100.0,100.0,100.0
train.confidence_rating_detailed.4.right,200.0,200.0,200.0,200.0,200.0,200.0
train.confidence_rating_detailed.4.cnt,54,31,40,68,25,39
train.confidence_rating_detailed.5.left,200.0,200.0,200.0,200.0,200.0,200.0
train.confidence_rating_detailed.5.right,inf,inf,inf,inf,inf,inf
train.confidence_rating_detailed.5.cnt,23,20,10,35,30,11
optimal_params.epsilon,0.02199315805249715,0.1372435660085091,0.1528121250955408,0.03189664777773611,0.014477277371836591,0.12379798205916333
optimal_params.C,1.9397999634400165,1.9255874088266185,1.7021377557624082,1.9948111925346947,1.999361195298789,1.9776260062131676
cfg.preprocessor.fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer,PowerTransformer,PowerTransformer,PowerTransformer
cfg.preprocessor.cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder
cfg.preprocessor.imputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer
cfg.preprocessor.copy,True,True,True,True,True,True
cfg.preprocessor.method,yeo-johnson,yeo-johnson,yeo-johnson,yeo-johnson,yeo-johnson,yeo-johnson
cfg.preprocessor.standardize,True,True,True,True,True,True
cfg.preprocessor.cols,"['ft_catm_country_code', 'ft_catm_exchange', 'ft_catm_industry_name', 'ft_catm_region', 'ft_catm_sector_name', 'ft_catm_sub_region']","['ft_catm_country_code', 'ft_catm_exchange', 'ft_catm_industry_name', 'ft_catm_region', 'ft_catm_sector_name', 'ft_catm_sub_region']","['ft_catm_country_code', 'ft_catm_exchange', 'ft_catm_industry_name', 'ft_catm_region', 'ft_catm_sector_name', 'ft_catm_sub_region']","['ft_catm_country_code', 'ft_catm_exchange', 'ft_catm_industry_name', 'ft_catm_region', 'ft_catm_sector_name', 'ft_catm_sub_region']","['ft_catm_country_code', 'ft_catm_exchange', 'ft_catm_industry_name', 'ft_catm_region', 'ft_catm_sector_name', 'ft_catm_sub_region']","['ft_catm_country_code', 'ft_catm_exchange', 'ft_catm_industry_name', 'ft_catm_region', 'ft_catm_sector_name', 'ft_catm_sub_region']"
cfg.preprocessor.drop_invariant,False,False,False,False,False,False
cfg.preprocessor.handle_missing,value,value,value,value,value,value
cfg.preprocessor.handle_unknown,value,value,value,value,value,value
cfg.preprocessor.hierarchy,,,,,,
cfg.preprocessor.min_samples_leaf,20,20,20,20,20,20
cfg.preprocessor.return_df,True,True,True,True,True,True
cfg.preprocessor.smoothing,10,10,10,10,10,10
cfg.preprocessor.verbose,0,0,0,0,0,0
cfg.preprocessor.name,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor
cfg.feature_selector.n_components_,138,138,138,18,18,18
cfg.feature_selector.name,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer
cfg.scope_estimator.memory,,,,,,
cfg.scope_estimator.steps,"[('nystroem', Nystroem()), ('linearsvr', LinearSVR(C=1.9397999634400165, epsilon=0.02199315805249715))]","[('nystroem', Nystroem()), ('linearsvr', LinearSVR(C=1.9255874088266185, epsilon=0.1372435660085091))]","[('nystroem', Nystroem()), ('linearsvr', LinearSVR(C=1.7021377557624082, epsilon=0.1528121250955408))]","[('nystroem', Nystroem()), ('linearsvr', LinearSVR(C=1.9948111925346947, epsilon=0.03189664777773611))]","[('nystroem', Nystroem()), ('linearsvr', LinearSVR(C=1.999361195298789, epsilon=0.014477277371836591))]","[('nystroem', Nystroem()), ('linearsvr', LinearSVR(C=1.9776260062131676, epsilon=0.12379798205916333))]"
cfg.scope_estimator.verbose,False,False,False,False,False,False
cfg.scope_estimator.nystroem,Nystroem(),Nystroem(),Nystroem(),Nystroem(),Nystroem(),Nystroem()
cfg.scope_estimator.linearsvr,"LinearSVR(C=1.9397999634400165, epsilon=0.02199315805249715)","LinearSVR(C=1.9255874088266185, epsilon=0.1372435660085091)","LinearSVR(C=1.7021377557624082, epsilon=0.1528121250955408)","LinearSVR(C=1.9948111925346947, epsilon=0.03189664777773611)","LinearSVR(C=1.999361195298789, epsilon=0.014477277371836591)","LinearSVR(C=1.9776260062131676, epsilon=0.12379798205916333)"
cfg.scope_estimator.nystroem__coef0,,,,,,
cfg.scope_estimator.nystroem__degree,,,,,,
cfg.scope_estimator.nystroem__gamma,,,,,,
cfg.scope_estimator.nystroem__kernel,rbf,rbf,rbf,rbf,rbf,rbf
cfg.scope_estimator.nystroem__kernel_params,,,,,,
cfg.scope_estimator.nystroem__n_components,100,100,100,100,100,100
cfg.scope_estimator.nystroem__n_jobs,,,,,,
cfg.scope_estimator.nystroem__random_state,,,,,,
cfg.scope_estimator.linearsvr__C,1.9397999634400165,1.9255874088266185,1.7021377557624082,1.9948111925346947,1.999361195298789,1.9776260062131676
cfg.scope_estimator.linearsvr__dual,warn,warn,warn,warn,warn,warn
cfg.scope_estimator.linearsvr__epsilon,0.02199315805249715,0.1372435660085091,0.1528121250955408,0.03189664777773611,0.014477277371836591,0.12379798205916333
cfg.scope_estimator.linearsvr__fit_intercept,True,True,True,True,True,True
cfg.scope_estimator.linearsvr__intercept_scaling,1.0,1.0,1.0,1.0,1.0,1.0
cfg.scope_estimator.linearsvr__loss,epsilon_insensitive,epsilon_insensitive,epsilon_insensitive,epsilon_insensitive,epsilon_insensitive,epsilon_insensitive
cfg.scope_estimator.linearsvr__max_iter,1000,1000,1000,1000,1000,1000
cfg.scope_estimator.linearsvr__random_state,,,,,,
cfg.scope_estimator.linearsvr__tol,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
cfg.scope_estimator.linearsvr__verbose,0,0,0,0,0,0
cfg.scope_estimator.name,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator
cfg.scope_estimator.epsilon,0.02199315805249715,0.1372435660085091,0.1528121250955408,0.03189664777773611,0.014477277371836591,0.12379798205916333
cfg.scope_estimator.C,1.9397999634400165,1.9255874088266185,1.7021377557624082,1.9948111925346947,1.999361195298789,1.9776260062131676
