,0,1,2
scope,scope_1,scope_2,scope_3
imputer,DummyImputer,DummyImputer,DummyImputer
fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,LogTargetScaler,LogTargetScaler
preprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor
feature_selector,SelectionFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer
scope_estimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,33.30274796485901,35.87168526649475,27.415091514587402
stats.optimise.num_datapoints,2164,2103,1320
stats.fit.time,8.77898120880127,8.922302007675171,6.586242198944092
stats.fit.num_datapoints,2164,2103,1320
stats.fit_confidence.time,8.147596597671509,8.320574522018433,6.400607109069824
stats.fit_confidence.num_datapoints,2164,2103,1320
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,1.2305375284282065,1.0840431154532761,1.38303855885825
raw.R2,-0.00040807247022844884,0.10133072856006431,-0.005641308605868867
raw.MAE,80041.94656781522,84027.50882311146,362602.6895624505
raw.RMSE,15861621.28069135,1468205.566182873,3133715763.793041
raw.MAPE,231.67497046581465,160.07470665586982,803.0549621385287
raw.offset_percentile.50%,5.0548274138962945,3.525430926216419,9.532069161684522
raw.offset_percentile.75%,19.10320467645442,9.372728134250062,44.56950723943633
raw.offset_percentile.90%,65.44318806036085,33.39252073470444,194.3832744567781
raw.offset_percentile.95%,211.4474985091905,74.76136893093124,453.2569417210288
raw.confidence_rating.<10.0%,23,34,11
raw.confidence_rating.10-20%,21,19,6
raw.confidence_rating.20-50%,41,69,26
raw.confidence_rating.50-100%,69,61,33
raw.confidence_rating.100-200%,83,101,37
raw.confidence_rating.>200.0%,440,374,300
raw.confidence_rating_detailed.0.left,0.0,0.0,0.0
raw.confidence_rating_detailed.0.right,10.0,10.0,10.0
raw.confidence_rating_detailed.0.cnt,23,34,11
raw.confidence_rating_detailed.1.left,10.0,10.0,10.0
raw.confidence_rating_detailed.1.right,20.0,20.0,20.0
raw.confidence_rating_detailed.1.cnt,21,19,6
raw.confidence_rating_detailed.2.left,20.0,20.0,20.0
raw.confidence_rating_detailed.2.right,50.0,50.0,50.0
raw.confidence_rating_detailed.2.cnt,41,69,26
raw.confidence_rating_detailed.3.left,50.0,50.0,50.0
raw.confidence_rating_detailed.3.right,100.0,100.0,100.0
raw.confidence_rating_detailed.3.cnt,69,61,33
raw.confidence_rating_detailed.4.left,100.0,100.0,100.0
raw.confidence_rating_detailed.4.right,200.0,200.0,200.0
raw.confidence_rating_detailed.4.cnt,83,101,37
raw.confidence_rating_detailed.5.left,200.0,200.0,200.0
raw.confidence_rating_detailed.5.right,inf,inf,inf
raw.confidence_rating_detailed.5.cnt,440,374,300
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.19603608501878086,0.1594546195408585,0.23016037443944942
test.R2,0.3375268799550958,0.18164285652674705,0.2006102932533146
test.MAE,1.619198733580589,1.259968740435836,2.2546612850051027
test.RMSE,2.6184278586932552,2.210041358212827,3.3912794255213536
test.MAPE,0.27886272796653266,0.22061109823660358,0.30212010761166497
test.offset_percentile.50%,1.1537223050814303,1.1180298900331287,1.1937994090801385
