,meta_name,key_year,tg_numc_scope_1,tg_numc_scope_2,tg_numc_scope_3
0,Greenvolt - Energias Renovaveis SA,2019,,,
1,Greenvolt - Energias Renovaveis SA,2020,,,
2,Greenvolt - Energias Renovaveis SA,2021,,,
3,Greenvolt - Energias Renovaveis SA,2022,,,
35,Shenzhen Fountain Corporation,2018,,,
33,Shenzhen Fountain Corporation,2019,,,
37,Shenzhen Fountain Corporation,2020,,,
34,Shenzhen Fountain Corporation,2021,,,
36,Shenzhen Fountain Corporation,2022,,,
95,"Dongwha Pharm.Co.,Ltd",2018,,,
96,"Dongwha Pharm.Co.,Ltd",2019,,,
93,"Dongwha Pharm.Co.,Ltd",2020,,,
94,"Dongwha Pharm.Co.,Ltd",2021,,,
97,"Dongwha Pharm.Co.,Ltd",2022,,,
117,"Shenzhen Tellus Holding Co., Ltd.",2018,,,
114,"Shenzhen Tellus Holding Co., Ltd.",2019,,,
113,"Shenzhen Tellus Holding Co., Ltd.",2020,,,
116,"Shenzhen Tellus Holding Co., Ltd.",2021,,,
115,"Shenzhen Tellus Holding Co., Ltd.",2022,,,
128,China National Accord Medicines Corporation Ltd.,2018,,,
129,China National Accord Medicines Corporation Ltd.,2019,,,
130,China National Accord Medicines Corporation Ltd.,2020,,,
131,China National Accord Medicines Corporation Ltd.,2021,,,
132,China National Accord Medicines Corporation Ltd.,2022,,,
153,"Digital China Group Co., Ltd.",2018,,,
154,"Digital China Group Co., Ltd.",2019,,,
155,"Digital China Group Co., Ltd.",2020,,,
156,"Digital China Group Co., Ltd.",2021,,,
157,"Digital China Group Co., Ltd.",2022,,,
292,"Shenzhen SDG Information Co., Ltd.",2018,,,
293,"Shenzhen SDG Information Co., Ltd.",2019,,,
294,"Shenzhen SDG Information Co., Ltd.",2020,,,
295,"Shenzhen SDG Information Co., Ltd.",2021,,,
296,"Shenzhen SDG Information Co., Ltd.",2022,,,
307,"HITEJINRO Co., Ltd.",2018,,,
308,"HITEJINRO Co., Ltd.",2019,,,
309,"HITEJINRO Co., Ltd.",2020,,,
310,"HITEJINRO Co., Ltd.",2021,,,
311,"HITEJINRO Co., Ltd.",2022,,,
477,Kia Corporation,2018,380000.0,780000.0,
478,Kia Corporation,2019,380752.0,804559.0,
479,Kia Corporation,2020,368746.0,903468.0,3750651.0
480,Kia Corporation,2021,359025.0,821651.0,70308768.0
481,Kia Corporation,2022,,,
512,"Weichai Power Co., Ltd.",2018,,,
513,"Weichai Power Co., Ltd.",2019,,,
514,"Weichai Power Co., Ltd.",2020,121597.0,92480.0,33108.0
