,ft_cat_country_name,ft_cat_industry_name,ft_cat_sector_name,ft_fin_cash,ft_fin_employees,ft_fin_equity,ft_fin_inventories,ft_fin_market_cap,ft_fin_net_income,ft_fin_ppe,ft_fin_rd,ft_fin_revenue,ft_fin_roa,ft_fin_roe,ft_fin_stock_return,ft_fin_total_assets,ft_fin_total_liab,isin,scope_1,scope_2,scope_3,year
0,,Banks,Financials,,,,,,,,,,,,,,,AEA000801018,202.0,6291.0,131.0,2020
1,United Arab Emirates,Conglomerates,Industrials,217.309462219197,,3244.61238938053,667.880462899932,,177.380803267529,933.269162695711,,773.368822328114,0.0333141268853944,5.46693354953855,-0.02079507296713,5324.49203539823,1979.27624234173,AED000601016,24259.0,123944.0,917.0,2018
2,United Arab Emirates,Conglomerates,Industrials,206.484411164057,,3261.0298162015,727.2,,179.011300204221,1095.09434989789,,733.364465622873,0.0313695934166793,5.48941010336225,0.0029852911272042,5706.522804629,2382.87270251872,AED000601016,26483.0,130473.0,1032.0,2019
3,United Arab Emirates,Conglomerates,Industrials,241.489993192648,,3217.00694349898,679.220966643975,,94.6358066712049,1205.56215112321,,753.629135466304,0.0159708314854637,2.94173461025465,0.0092911476826002,5925.54036759701,2644.7817562968,AED000601016,8386.0,134191.0,977.0,2020
4,United Arab Emirates,Telecom Services,Communication,,,2138.3672802527,10.7759535182118,7716.75173111059,477.146579400659,2300.41572900313,,3464.92583428788,0.0964221430599999,22.3660181132796,0.279923012118085,5012.7590867613,,AEE000701012,32439.2,277777.31,2127.87,2016
5,United Arab Emirates,Telecom Services,Communication,136.716405718176,,2317.50653452407,71.7305287632942,6207.346975797,477.251752689362,2126.65035588551,,3651.97457485545,0.10210663908,21.1846080853788,0.0583165392566183,4493.43410471821,2176.5336963921,AEE000701012,35164.18,284940.59,1708.0,2018
6,United Arab Emirates,Telecom Services,Communication,73.1640571817563,,2354.81240470486,79.0435976977348,6812.03852063243,471.248970776021,2570.21077373981,,3427.04788900906,0.103861266701,20.1737094616105,0.170489695987282,4581.07686090612,2226.88304969367,AEE000701012,35897.73,299223.78,1742.77,2019
7,United Arab Emirates,Regional Banks,Financials,,,14664.4325236902,,12846.9352375902,1810.10886079368,652.671180930376,,5533.92356990916,0.01694235052,15.5262321952188,0.210162902628655,121975.552926664,,AEE000801010,68.0,57854.0,,2016
8,United Arab Emirates,Regional Banks,Financials,,,16161.168926646,,12408.4493096189,2111.43498190895,665.114640032977,,5932.09664602175,0.01817511198,16.456154046376,0.0118346514106236,128069.127807359,,AEE000801010,104.0,53925.0,,2017
9,United Arab Emirates,Regional Banks,Financials,11627.4472430225,,17429.5624591592,303.65119128659,13451.2939173317,2571.45425178969,684.939063474655,,6904.95315691364,0.02068892043,18.0917153640139,0.126249112005683,136216.253158563,118806.911640572,AEE000801010,367.0,81329.0,8682.0,2018
10,United Arab Emirates,Regional Banks,Financials,13043.7622872703,,22216.4874210412,352.893396868618,22355.6840390313,3767.31965091905,1175.37341639662,,9879.51643550453,0.024506433337,21.849185196825,0.58056269797194,186031.210961687,163843.077739959,AEE000801010,969.0,49253.0,13897.0,2019
11,United Arab Emirates,Banks,Financials,,,11771.0679267894,,11290.3336049385,1369.63067970753,720.332670524061,,3672.17396428299,0.01336927954,14.3300837599596,-0.354965579752714,110689.842486924,,AEN000101016,1001.0,33691.0,1705.0,2015
12,United Arab Emirates,Banks,Financials,,,10136.2024833896,,14291.9513178789,1603.04420806736,416.089462694228,,3274.95214842474,0.01925258959,16.9243591691546,0.318481452215517,60981.7689488828,,AEN000101016,935.21,33227.87,731.02,2016
